Player,Total Kills,Rounds Won,Total Rounds,Maps Played,ADR,Rating,Impact,KAST,AWP%,IGL,AWP,Rank,Win,Loss,KPR,wKAA,wKAAFactor,wAAA,wAAAFactor,kAWP,kAWPFactor,iAWP,iAWPFactor,iADRFactor,WL,WLFactor,RAR
Grim,526,360,782,36,73.9,1.03,1.01,0.702,0.0038,0,0,11,16,20,0.673,0.012115044247787643,0.10082351365827558,1.23805309734513,0.14766786793004302,-0.0,0.0,-0.0,0.0,0.0083951697509169,-0.09725166862976053,-0.10624744797801339,2.150639103361222
JT,479,360,782,36,70.4,0.96,0.97,0.698,0.0,1,0,11,16,20,0.613,-0.04788495575221241,-0.3985069630423141,-2.26194690265487,-0.26979204462415385,-0.0,0.0,-0.0,0.0,-0.02841896356352043,-0.09725166862976053,-0.13420730270906953,1.1690747260609422
floppy,428,360,782,36,66.4,0.94,0.84,0.712,0.007,0,0,11,16,20,0.547,-0.11388495575221236,-0.9477704874129618,-6.26194690265487,-0.746889087543236,-0.0,0.0,-0.0,0.0,-0.19636633452061913,-0.09725166862976053,-0.10624744797801339,0.002726642545169744
Nertz,737,514,1033,46,78.5,1.11,1.19,0.697,0.0163,0,0,9,23,23,0.713,0.05211504424778757,0.4337104981253344,5.838053097345124,0.6963294672869867,-0.0,0.0,0.0,0.0,0.11233891325284286,0.22449941107184923,0.24526560659599528,3.4876444852611597
TeSeS,745,514,1033,46,80.6,1.14,1.18,0.734,0.0054,0,0,9,23,23,0.721,0.060115044247787575,0.5002878950187464,7.938053097345119,0.9468054148195043,0.0,0.0,0.0,0.0,0.14127179748071117,0.22449941107184923,0.24526560659599528,3.8336307139149572
sjuush,657,514,1033,46,73.1,1.03,0.98,0.718,0.0076,0,0,9,23,23,0.636,-0.02488495575221239,-0.2070969469737547,0.43805309734511866,0.05224845934622523,0.0,0.0,-0.0,0.0,0.004870357862362001,0.22449941107184923,0.24526560659599528,2.095287476830828
kyxsan,616,514,1033,46,67.3,0.96,0.92,0.695,0.0065,1,0,9,23,23,0.596,-0.06488495575221243,-0.5399839314408145,-5.3619469026548785,-0.6395422528864435,-0.0,0.0,-0.0,0.0,-0.10612731190295821,0.22449941107184923,0.30980918727915197,1.0241556910489358
nicoodoz,665,514,1033,46,66.0,1.02,1.0,0.705,0.2827,0,1,9,23,23,0.644,-0.016884955752212383,-0.14051955008034273,-6.661946902654876,-0.7945987918351448,-0.0031197070796460443,0.10986942066371669,-0.016086380530973457,0.32405925877256636,-0.05480579492089013,0.22449941107184923,0.24526560659599528,1.469531307868467
snappi,338,332,679,32,59.0,0.82,0.73,0.666,0.0,1,0,13,15,17,0.498,-0.1628849557522124,-1.3555570433851098,-13.661946902654876,-1.6295186169435385,-0.0,0.0,-0.0,0.0,-0.6456896509508642,-0.17942432273262665,-0.2476055653710248,-1.8783708766505374
dupreeh,276,179,366,17,82.3,1.16,1.3,0.713,0.0,0,0,13,4,13,0.754,0.0931150442477876,0.7749196572040706,9.638053097345122,1.1495716580601147,-0.0,0.0,0.0,0.0,0.33873674922940583,-0.812173491304649,-0.887299539250329,3.3759285252432623
Maden,484,332,679,32,77.3,1.1,1.13,0.726,0.0103,0,0,13,15,17,0.713,0.05211504424778757,0.4337104981253344,4.6380530973451215,0.5532003544112618,0.0,0.0,0.0,0.0,0.04901512391994653,-0.17942432273262665,-0.1960210725853946,2.8399049038711484
SunPayus,446,332,679,32,68.1,1.08,1.08,0.725,0.4103,0,1,13,15,17,0.657,-0.003884955752212371,-0.03233128012854832,-4.561946902654881,-0.5441228443026275,0.0036781761061946594,0.1428391541150441,0.009476840707964625,0.40501031146991157,-0.015233688641779151,-0.17942432273262665,-0.1960210725853946,1.474462271696518
Magisk,414,332,679,32,72.2,1.03,0.92,0.744,0.0,0,0,13,15,17,0.61,-0.05088495575221241,-0.42347348687734354,-0.4619469026548728,-0.05509837531056723,0.0,0.0,-0.0,0.0,-0.009143168313805041,-0.17942432273262665,-0.1960210725853946,1.3162638969128895
electronic,876,629,1271,59,79.3,1.08,1.11,0.712,0.0,0,0,7,25,34,0.689,0.028115044247787546,0.23397830744509854,6.6380530973451215,0.7917488758708029,-0.0,0.0,0.0,0.0,0.050957288873422636,0.49428240602104156,0.540003528577988,3.616688000767312
Jame,832,618,1249,58,68.4,1.12,1.04,0.738,0.5445,1,1,7,29,29,0.666,0.005115044247787637,0.04256829137654012,-4.26194690265487,-0.5083405660836949,0.011959725663716779,0.18300466946902638,-0.009203495575221227,0.3458552905619469,-0.010414915325501274,0.5439340400471142,0.7506289752650176,2.437292406325282
FL1T,814,618,1249,58,79.0,1.11,1.16,0.728,0.0049,0,0,7,29,29,0.652,-0.008884955752212376,-0.07394215318693079,6.338053097345124,0.755966597651872,0.0,0.0,0.0,0.0,0.09447048391144329,0.5439340400471142,0.5942479387514723,3.370742867127857
norbert,761,618,1249,58,68.9,0.99,1.02,0.691,0.0092,0,0,7,29,29,0.609,-0.051884955752212414,-0.43179566148902,-3.76194690265487,-0.4487034357188097,-0.0,0.0,-0.0,0.0,-0.020070724880101223,0.5439340400471142,0.5942479387514723,1.6936781166635413
fame,754,618,1249,58,63.6,0.99,0.98,0.714,0.004,0,0,7,29,29,0.604,-0.05688495575221242,-0.47340653454740245,-9.061946902654874,-1.0808570175865941,-0.0,0.0,-0.0,0.0,-0.10075245355674452,0.5439340400471142,0.5942479387514723,0.9392319330607313
Ax1le,269,193,382,18,80.3,1.15,1.23,0.751,0.0149,0,0,30,7,11,0.704,0.04311504424778756,0.35881092662024594,7.6380530973451215,0.9110231366005735,0.0,0.0,0.0,0.0,0.19114628642431986,-0.6319591676482137,-0.6904153906556735,2.770564958989466
Boombl4,240,193,382,18,68.2,1.01,1.01,0.73,0.2,1,1,30,7,11,0.628,-0.0328849557522124,-0.2736743438671666,-4.461946902654873,-0.5321954182296494,0.002792920353982287,0.1385456637168141,-0.00938053097345133,0.3452946725663717,-0.030256215785649156,-0.6319591676482137,-0.8721036513545349,0.4985193796125573
Perfecto,238,193,382,18,64.4,1.03,0.84,0.754,0.0252,0,0,30,7,11,0.623,-0.0378849557522124,-0.3152852169255491,-8.26194690265487,-0.9854376090027771,0.0,0.0,-0.0,0.0,-0.2590836770893867,-0.6319591676482137,-0.6904153906556735,-0.2502218936733862
Hobbit,252,193,382,18,73.9,1.05,1.03,0.733,0.0159,0,0,30,7,11,0.66,-0.0008849557522123686,-0.007364756293518841,1.23805309734513,0.14766786793004302,0.0,0.0,-0.0,0.0,0.0048153426495825226,-0.6319591676482137,-0.6904153906556735,1.4547030636304332
Twistzz,539,360,724,31,80.8,1.18,1.22,0.735,0.0111,0,0,14,15,16,0.744,0.0831150442477876,0.6916979110873057,8.138053097345122,0.9706602669654587,0.0,0.0,0.0,0.0,0.19189346977928026,-0.1909229074052966,-0.20858327634028656,3.645668371491758
NAF,508,360,724,31,77.7,1.14,1.04,0.757,0.0256,0,0,14,15,16,0.702,0.04111504424778756,0.34216657739689293,5.038053097345127,0.6009100587031707,0.0,0.0,-0.0,0.0,0.01231148524669407,-0.1909229074052966,-0.20858327634028656,2.746804845006471
YEKINDAR,462,360,724,31,73.7,1.05,1.25,0.682,0.0022,0,0,14,15,16,0.638,-0.022884955752212388,-0.19045259775040171,1.0380530973451272,0.12381301578408857,-0.0,0.0,0.0,0.0,0.028979351079740544,-0.1909229074052966,-0.20858327634028656,1.7537564927731408
cadiaN,441,360,724,31,66.1,1.03,0.88,0.739,0.5034,1,1,14,15,16,0.609,-0.051884955752212414,-0.43179566148902,-6.561946902654881,-0.7826713657621684,0.011560380530973418,0.18106784557522107,-0.08905279646017698,0.09299650944955756,-0.16782623332352642,-0.1909229074052966,-0.2634736122193093,0.26616179108031224
skullz,542,445,904,39,65.9,0.96,0.9,0.7,0.0037,0,0,14,15,16,0.6,-0.06088495575221242,-0.5066952329941085,-6.76194690265487,-0.8065262179081213,-0.0,0.0,-0.0,0.0,-0.15338921795131125,-0.1909229074052966,-0.20858327634028656,0.3248060548061724
KSCERATO,504,329,694,32,82.2,1.19,1.25,0.726,0.0,0,0,15,14,18,0.726,0.06511504424778758,0.5418987680771288,9.538053097345127,1.137644231987138,0.0,0.0,0.0,0.0,0.2662740374573274,-0.21067432273262665,-0.23016169758539462,3.7156553399361996
yuurih,450,329,694,32,78.5,1.04,1.03,0.703,0.0089,0,0,15,14,18,0.648,-0.01288495575221238,-0.10723085163363677,5.838053097345124,0.6963294672869867,-0.0,0.0,-0.0,0.0,0.022706801614936326,-0.21067432273262665,-0.23016169758539462,2.3816437196828915
FalleN,445,329,694,32,63.6,1.0,1.0,0.676,0.4674,1,1,15,14,18,0.641,-0.019884955752212385,-0.16548607391537223,-9.061946902654874,-1.0808570175865941,-0.018712545132743365,0.03424415610619469,-0.026596300884955758,0.2907774939876106,-0.07454985919100887,-0.21067432273262665,-0.2907305653710248,0.6449098218174159
chelo,384,329,694,32,62.6,0.9,0.95,0.659,0.0703,0,0,15,14,18,0.553,-0.10788495575221235,-0.8978374397429026,-10.061946902654874,-1.2001312783163647,-0.0,0.0,-0.0,0.0,-0.15551178162576235,-0.21067432273262665,-0.23016169758539462,-0.48364219727042457
MAJ3R,356,313,637,29,65.2,0.96,0.9,0.694,0.0337,1,0,16,13,16,0.559,-0.10188495575221235,-0.8479043920728437,-7.461946902654873,-0.8900182004189611,-0.0,0.0,-0.0,0.0,-0.16926814366777343,-0.27975711790747737,-0.3860648227123188,-0.293255558871897
